Program | File | Runtime
sort1 | random5000.txt | 0.075844872seg
sort1 | random10000.txt | 0.232827531seg
sort1 | random50000.txt | 6.794411658seg
sort1 | reversed5000.txt | 0.092385351seg
sort1 | reversed10000.txt | 0.233910842seg
sort1 | reversed50000.txt | 6.110018560seg
sort1 | sorted5000.txt | 0.041049689seg
sort1 | sorted10000.txt | 0.208848173seg
sort1 | sorted50000.txt | 0.762223572seg
sort2 | random5000.txt | 0.050115425seg
sort2 | random10000.txt | 0.205171634seg
sort2 | random50000.txt | 0.745915987seg
sort2 | reversed5000.txt | 0.170383120seg
sort2 | reversed10000.txt | 0.073766775seg
sort2 | reversed50000.txt | 0.755089272seg
sort2 | sorted5000.txt | 0.202422224seg
sort2 | sorted10000.txt | 0.081097171seg
sort2 | sorted50000.txt | 0.902298600seg
sort3 | random5000.txt | 0.074360599seg
sort3 | random10000.txt | 0.256450012seg
sort3 | random50000.txt | 2.894969047seg
sort3 | reversed5000.txt | 0.051505329seg
sort3 | reversed10000.txt | 0.263280089seg
sort3 | reversed50000.txt | 3.136480712seg
sort3 | sorted5000.txt | 0.058777179seg
sort3 | sorted10000.txt | 0.249685335seg
sort3 | sorted50000.txt | 3.007341320seg
